address,balance
0xcc282e2004428939ee5149a9e7872f0b4d5d5ec7,291766.243469
0x6cf2656c825656bb07a6630855618df37bec7725,269950.390924
0x58edf78281334335effa23101bbe3371b6a36a51,262391.895866
0x33566c9d8be6cf0b23795e0d380e112be9d75836,252179.327364
0x9acc2e91f6603c80f21c3e3c4b3462b8494230a8,251210.761000
0x184c288884ef324c08a2e101705e6280344b2464,250000.000000
0x10ef7a0d8e307dfb41ed27ce09da2f5c6871a3d6,249990.000000
0xf342d655ca60333b8cdaf0781cc7fe6fc5075e57,249949.624991
0xee91da19b5202b49ea919b4886e2d8ef9e024662,231217.097267
0xb563c0f5b75e8ff7c0d528ec5a7b220979830db0,209717.387870
0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,208506.979364
0x51b79c041ced15fa66c02719625cba0787b8fc3e,203643.690000
0x05cdb1526f6e224e02919a4c018d9784ea25eb3d,201717.436945
0x3640cbf01f2def97517b350300b607303ea5bbcc,200000.000000
0x9af96e5b379c37d243a670c62089053aacacc45c,199900.000000
0x2d5bf457a9918083af7b03eab8f700851d4a9a5a,195436.335846
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,186252.100000
0xceb27ecb616f1582a22d0351abd302e4f5e1933d,165299.870000
0x150bdd4f14d0392f14c7d3b3f6fc50cfa615460a,162361.794129
0xdd2e0d86a45e4ef9bd490c2809e6405720cc357c,159358.318225
0x3f51ad2d5ff5b2fc5ace0da7002dc364a3001e32,156634.453650
0xca343ef04ad21b7893f898711dd0391ea3641d56,154247.951142
0x13394005c1012e708fce1eb974f1130fdc73a5ce,134195.224820
0xc30c8b862f7de6ba5d7eaeb113c78ec6b5ded04b,125654.230212
0x4fb312915b779b1339388e14b6d079741ca83128,120439.000000
0x4449a285af42ac216208d9e4bdb3a26ea98bc070,119988.140000
0xc3dcd744db3f114f0edf03682b807b78a227bf74,114829.190468
0x88264f169dfa948f813b316d77614a6bec83311d,114737.137980
0x18bb3144a52f9bce7345ae5834e184a236d7c0d6,111764.929983
0x21cb9dc729e7ee9ef6c809991a3b8b22a4c81ebe,105764.222854
0x05ab9caac4c091d73299e58aa33fb7d15d98d895,99994.339848
0x624e0eae50f992127e804f6ae5da6ed970e36167,99988.930000
0xb52ac7e42dc1c742d0cb5bf953409fe5269c0f03,98505.730000
0x77b0dcf2d4defc1f2ab5431ab59fe7b46dc0ef6d,92681.610451
0x46340b20830761efd32832a74d7169b29feb9758,92356.647519
0x58b704065b7aff3ed351052f8560019e05925023,89430.250990
0x3a5cc8689d1b0cef2c317bc5c0ad6ce88b27d597,88564.931928
0xa01aa2196724a39290f465b3925e5dcafe7f2256,88443.750000
0x1da0d480df75d7f2d91b14bdea217cb39c000c0a,86604.290292
0xcacebc09ee91fe63071f261f8bfe74a99ca7ef70,80090.930255
0x8dea54e8d930cc83644cced8ccaf7e86701cd4b9,77858.213500
0xa52b2b3a918effe74f02ffa3c166742af0b36ea7,76404.871247
0x7f604d597c15b2e2f60dc645844f68b1d781b752,74046.866627
0xcc795c35bc107c8b02d7a375d646eeb87ec3cc84,68000.000000
0x8195d3496305d2dbe43b21d51e6cc77b6c9c8364,67189.397377
0x48a5bfbecfa10cd269c430ae374175404cef36a5,65500.130000
0xcffad3200574698b78f32232aa9d63eabd290703,64176.459673
0x68b9796de46279f213c3d0c76e790219844cf24d,61517.288490
0x2982bb64bcd07ac3315c32cb2bb7e5e8a2de7d67,56369.110217
0xa5d0f9987a2d2338ceca69501ddb8291aa365027,51707.560000
0x99b26b5deceb7e086dfc3f79e193b4aa06e09bdd,50007.750000
0xcd531ae9efcce479654c4926dec5f6209531ca7b,50007.700045
0xe3cf8739878ab2a91d77d42bcc82113f50eaf231,50000.201423
0x0a560ffa63f9fb84553ca72fbbcbe23fda4c0acd,50000.000000
0x006877c0ec2a1f60df5ddb7f87164d7349a7bc59,49855.928014
0x3a09c40f8f7b93c8c7e09a5422e56dfe7c7d2794,49480.123791
0x6a7e90613ea4912cb443f2a6dc12b365fc59f055,49000.000000
0x74b2e4d860ed95e91ec101ee91a41de234f28668,43562.713274
0xde6719455b90d59f3d5f3818d14aa1bf879df0bc,43202.592358
0xf4b342e4fb3dfde3d39e836fe975e99c6a93dbb8,42023.043817
0x2e5e8609c3cfc705b706ea720214742586327ca0,41854.304741
0x9635928293d264b00c3f5fb1f96579550ebd7a95,39532.019975
0x9da75997624c697444958aded6790bfca96af19a,38801.303401
0x406c7f971057deb257c98b205cdb8d8f6f46dafb,37752.708183
0xa03400e098f4421b34a3a44a1b4e571419517687,37349.569028
0x9f6072fda1c2ad9047c06e64a59e92fa71e4aadc,37309.259439
0xd991b0cb10b0edfb3dd8bbaa6696300dbaf870d2,36008.282543
0xea7d82ce184571773a7997871a6997cce470b079,35647.307455
0xc9f6e3402867e6b5f8a10bc2251a8835126a0e33,35001.000000
0x25f1449985edf31359da2d5b0a8abbc9b879fb83,34954.134910
0xcfc0f98f30742b6d880f90155d4ebb885e55ab33,34732.089858
0x3f2aa89cac18f8e48456cee3b0ee7e62d3eebd96,34076.893727
0xf89d7b9c864f589bbf53a82105107622b35eaa40,32730.680000
0xce5d4aa69bc7fa8ad94a6f9133ec435e8aa00359,32345.652326
0x562b7242adc9f40721c09eb24f791bee438d8c65,32307.517101
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,30855.630783
0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a,30778.447990
0xd51d68ec22e971bb8889d0312e0677520171d0f4,30764.903418
0x1b5b2c15b5627e140a47dcf41e794bcb47b5833b,30450.710000
0xff1c7d757f4e180bf6328d1d31c8d570e64c47be,30217.886884
0xb95bb373a859c208d4a86c9764d23d93ffb66bae,30000.000000
0x851f56750230132c85069bad7574649617e48804,30000.000000
0x524197832b71580880bc3c025e200617a0f1fa05,30000.000000
0x8cf74614373daffe0401682064a6d5532fd38e1a,29934.927964
0x103950c19c94faa09eb89735ef9f0cad2bf31185,29531.440000
0x2fc7f14e38fa5ac97bcd67492acf433b33b4cfc6,29456.750000
0x66be97a14ca1b8ee1a71c17053b79954e36883da,28088.090000
0xa059b9480be031986bdd39736593e8ce3d954225,28088.016571
0x485eb6c2f9ca6ae079168e5c731548b4b179d402,28062.594273
0x96481fb627e133f30a75b2a109ebf35d4ed3a299,27830.463656
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,27589.453373
0xc7b640db892c3429c2a0f9817101881e75ddf192,26834.587533
0x272b065a43ef59ea470fbfd9be76ad1b43aab651,26655.268462
0xf1ac36c3cbaeb17eac5d483b0dd4756a9e5ed02a,26545.450000
0xf7273c98e516fa3ded0f16f8fd47fa6564125184,25605.438040
0xc306222753840cf801979e6bb7975cf9084db764,24989.711100
0x4879b9e4765d2f87a753a7d2884596fbe72b8d8a,24898.452784
0x6c3ea9036406852006290770bedfcaba0e23a0e8,24620.679930
0xf5a109ad6fc8f122d0d59206f55f2c57d82b477a,24494.670000
0x37f6bf6559d25cd03cb8d3a4d68fc908702a0d2b,24258.040425
0x507f00dbc75261afde5ecf4422afc439df4325eb,23738.668358
0x6cb0c772b661258001b274b688501a5cfc4273be,23597.200771
0x985de23260743c2c2f09bfdec50b048c7a18c461,23590.798853
0x0646760752c644e19ee64bf54f3d164de85de025,23500.000000
0x7c4e1eec9169048aa93c4b3872e565365fd90496,23316.760000
0xbaf491b4fd39e7c65a2ff16a9a4a33b799a1e0b7,23180.000000
0x854106d80216f9f3997944be0384dd7433ac5811,22884.266513
0x6d1f69dca20e47167bce836960c22891e3db2d8b,22597.900653
0x7c084b21f74e8d5198ac4826e5d44d5f82209baf,22164.403600
0x988b92e5feb60f78a0d5aaf5aba74c28478f5696,21596.937656
0x837e4a781487a6fe6b6fc6eb8c1bbb5d52b6e986,20926.688058
0x2da8347fc8133ab0afc65e988767bdfa5eb1f1ef,20419.350000
0xd3f5c377a8506af29aeafbc90d1e5c6534f197b4,20034.556110
0x138cd82fd1d8cfd8c8f0ac506538bbac3573a83b,20002.081909
0xf5c4aaa0d55733a9e34791e263172e14fef5970d,20000.000000
0x3e45eca8f5702586884cfe24ed8b4fc223d9b891,20000.000000
0x33b4c515600d99d5675658f2c40c8d064ed9736f,20000.000000
0xc1b51f5d60f74ceb22a0f3ab52c1b8c42424ebaf,20000.000000
0x3ff7c4c7d97663d76d6096690b56a1db2d8df5b0,19996.582953
0x0e32578c9513bff70323cc0f83eb4f95f444c28d,19838.420000
0x713bbcd9c3435a39236a6e1800cbd7d897279418,19604.860000
0xf216fe20d8596be9ff2519e914ebb8b587d21d9e,19452.957330
0xc25fe42946db42c77ce93338aa8732b6c2273246,18673.557860
0x52aeb7c943d57fd1f04cd46e241c64c604c6ea50,18472.832971
0xb93e3d70ac9cacd51764f09ae0d01b905dc291e1,18033.260000
0x88d84a6b9cc644ff1883a3e0ea9d0a6e752514cb,17702.592638
0xc117551b3e94d3a0a1ec8cb21f8f3e1823b7159a,16977.846729
0xc92d70f83c5c464fb68bc5ac6e0112aefb0674eb,16959.299641
0x491c9d7306d5b52d1eed7f93c5ef3a67f059558c,16781.000037
0x527566e3b5b43e9901217690b8e1ef28f52a096d,16574.128994
0x42261d14176e3db6fa389b3909f8f472cef9c67b,15596.796329
0xbd834ed4ce4217b66c9be21b26792d4ee35f4fe8,15500.000000
0x1a4f1d1512c9a4af3d352ed6045f626ea0ac44fe,15009.242366
0x87ec2fea5ab1eef628cd8daf2b7343770472587e,15000.000081
0x91546cc623a95fdfad62e9df8590dee69b771702,15000.000001
0x47e8e6ca4021f159a516eda26cd48f0f55106dea,15000.000000
0x6af08af11a55fda1c57f3eb77a0ff9dcd6869e28,15000.000000
0xd31e4e9a0aa31f0f8fe08969bf9cbf8e667d9f6a,14851.570000
0x9e5de46f78e662735d911307d1b06d92746f9c8c,14765.816075
0x26c50e673fca05131c9b9f23d213b977d9a34c77,14327.865262
0xfb9d0cbf33b0d4a9c001fc3d68bf7e902f2dd0c2,14193.493810
0x7a3617de80b85b7669bd4ab31708012fd9823579,14161.726847
0x931a1185b321971b33990bf0dfc9966546391d66,13992.370000
0x566a00ee7b48b39eafc6de905dad87cc83afa4d2,13477.016162
0x80787af194c33b74a811f5e5c549316269d7ee1a,13412.747914
0x5ab217a5b771a5396b99912c77701ce7d4c2b0b4,13410.349916
0xa101b05cb3afa36789eb135c1b294c69d755cf24,13032.770000
0x9d96ad6ad67716f066e74dfc2b0de6b31131c13f,13002.210376
0xa428b7f88e5190eb6afc4ee91dc2aa21fd4dc001,12675.990000
0xb3f17c333a6e86908656b4c961c4b37283337e52,12601.900000
0xeb85a25bad302fb7d74c7e6a5421fa8358207a54,12322.694464
0x0afb3491ca4273318240804f13e217786aa62276,12185.553513
0x187fe1a8b76c60b85c00a2819152ff00ff642386,12009.582594
0x54a28fc31bc2102b417564c92bff9508c46b5af6,11799.000000
0xa2df8db025104a04ac4b53fca3b3e87f4b8a1bf9,11632.206343
0xdd36794a3f8430fc8622686ca5c0c3212071754e,11348.398949
0x82b3e30d22ac5a9002e9f30f15429e9617f06ee6,11223.964301
0x8fedb775d6dc1fb9cec46b7cf4028ec053e0caae,11113.254608
0xf332d54272a25d3277987ce7d3e1d82b791ba4c2,10995.970323
0x8cbad60b6894b46c1f2f062c8ef3711c514b5563,10966.260000
0xd713a31d47f93a7eca3c91e0a811419fb2c47380,10930.471937
0x9f08c9edbc23bd58f8c0335a9fc12794d419c7f6,10913.424600
0x621ed6b211e3c6d1e56eec3a0b4e5f355aab3f2d,10753.027176
0x991d80a46548ae70508d962d580cf95f3cab32da,10513.599190
0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,10370.660000
0xcf9e44adbe6200f3a1080f687c87a5f820f7e4b9,10293.857761
